,FirstBlood,WardsPlacedDiff,WardsDestroyedDiff,KillsDiff,AssistsDiff,Dragons,Heralds,TowersDestroyedDiff,GoldDiff,AvgLevelDiff,ExperienceDiff,CSdiff,JungleMinionsKilledDiff
7472,1,1,1,0,-4,-1,1,0,-900,0.0,1475,34,5
7177,0,1,-1,-3,-5,1,0,0,-2791,-0.5999999999999996,-2142,-54,3
4674,0,7,-2,-5,-8,-1,-1,0,-3346,-0.6000000000000005,-3153,8,-11
452,1,-5,4,4,4,1,1,0,2580,0.6000000000000005,2954,45,0
2399,1,-23,0,-7,-11,1,0,0,-2932,-0.20000000000000018,-2135,-4,4
6225,0,-6,2,3,1,1,1,1,2892,0.5999999999999996,1413,18,-8
1697,0,0,-1,6,2,0,0,0,3039,0.40000000000000036,2255,14,11
5193,0,-17,-3,4,10,1,0,0,1270,-0.40000000000000036,365,3,-20
5111,0,1,-2,-4,-3,0,0,0,-2132,-0.40000000000000036,-1088,-20,14
3538,1,-50,11,9,11,1,0,0,5238,0.6000000000000005,2654,27,-19
8441,1,-26,-1,-2,2,-1,0,0,737,-0.20000000000000018,50,24,13
1843,1,-27,12,6,6,0,0,0,1860,0.6000000000000005,1500,4,-9
8523,0,-1,4,8,9,-1,1,0,4294,0.40000000000000036,2560,15,-20
88,0,3,-1,6,8,0,0,0,2547,0.8000000000000007,2189,-15,23
7534,1,98,2,-2,-1,0,0,0,-1412,-0.20000000000000018,-768,-27,5
6152,1,2,1,8,15,1,0,0,3158,0.5999999999999996,1518,33,-23
4877,0,-2,-1,1,3,-1,1,1,1063,0.20000000000000018,-391,-6,-15
6879,0,-2,1,-2,0,-1,1,-1,-3082,0.0,-1694,-26,-18
3998,0,20,-1,-8,-14,0,0,0,-5515,-0.6000000000000005,-3391,-49,-8
468,1,-1,1,7,6,1,-1,0,4817,0.6000000000000005,3220,41,12
7785,0,40,2,-1,0,1,1,0,-1641,0.0,-602,-23,4
5373,1,2,2,1,1,-1,0,0,-727,0.0,-675,-26,0
8999,1,3,0,2,3,0,-1,0,1023,0.20000000000000018,19,4,10
4388,0,1,0,-10,-8,-1,0,0,-5161,-0.6000000000000005,-4099,24,-26
9385,1,1,0,5,11,1,0,0,1138,0.0,-7,-46,8
4506,1,-2,5,2,2,1,-1,0,1031,0.20000000000000018,829,14,12
8392,1,1,-2,0,0,-1,1,0,997,-0.6000000000000005,-1143,6,-24
2998,1,-86,-3,2,1,1,0,0,-224,-0.20000000000000018,-765,-49,12
630,1,1,0,2,6,-1,0,0,1099,0.0,-98,6,7
366,1,-2,3,3,2,1,1,0,1946,0.0,1292,15,10
1050,1,0,-1,-3,-3,1,1,0,-1286,-0.20000000000000018,-995,20,-14
249,1,20,1,-7,-5,1,0,0,-2383,-0.6000000000000005,-1807,15,-3
72,1,5,-1,6,9,-1,0,0,3194,0.40000000000000036,2534,24,-7
8450,1,4,0,6,10,1,0,0,3923,1.2000000000000002,3613,41,29
675,1,-3,2,4,4,-1,0,0,2526,0.40000000000000036,1379,38,-13
8007,0,-21,-2,-6,-10,-1,-1,0,-3683,-0.8000000000000007,-3420,4,-35
5640,0,-24,3,4,0,-1,-1,0,2511,1.2000000000000002,3602,57,-3
1148,0,5,-2,3,-1,-1,0,0,2089,0.40000000000000036,1675,14,2
2057,1,22,-21,-4,-10,-1,0,0,-1521,-0.40000000000000036,-2185,-25,-9
3564,1,-1,1,-1,0,1,0,0,-168,0.0,376,-23,18
3469,0,26,-2,-1,-2,-1,0,0,-2246,-0.7999999999999998,-961,-40,8
4817,0,-4,-1,2,-2,-1,1,0,-435,0.20000000000000018,574,-35,12
873,0,4,-3,-1,0,1,0,0,-1207,0.0,-1748,-14,-17
8027,1,-4,1,7,10,-1,-1,0,2680,0.40000000000000036,1700,8,-1
5182,0,-1,-1,-6,-12,0,0,0,-3081,0.0,-1236,9,-7
7539,1,-2,0,1,5,0,0,0,148,-0.20000000000000018,-543,12,-12
1131,1,-1,-1,1,1,1,1,0,1634,-0.20000000000000018,546,-22,35
710,0,-28,3,-4,-8,-1,1,0,-2528,0.0,-882,-10,-6
1162,1,0,0,5,12,-1,0,0,2088,0.20000000000000018,-118,-11,-3
3934,1,-3,0,-5,-9,0,0,0,-3290,-0.40000000000000036,-2697,-35,-7
6203,0,3,-1,6,14,-1,0,0,2877,0.40000000000000036,1714,17,-21
1072,1,5,1,-4,-2,-1,0,0,-1430,-0.6000000000000005,-2349,-44,-11
8692,0,2,0,-7,-11,-1,-1,-1,-6892,-1.2000000000000002,-5371,-32,-32
5084,1,5,-1,1,5,1,0,0,-425,0.0,-1057,-62,7
2625,0,-45,1,-4,-5,-1,1,0,-2009,-0.40000000000000036,-2396,-22,-7
5103,0,19,-3,-1,3,-1,-1,0,-839,0.0,-833,-11,-44
4396,1,28,0,1,-1,0,1,1,1404,0.0,1286,1,1
4485,1,37,3,4,9,0,-1,0,1183,0.0,1036,-10,-12
1738,0,-7,3,3,3,1,-1,0,246,0.0,759,-25,-12
3846,0,2,-2,-2,-2,-1,0,0,-281,0.20000000000000018,110,6,16
3776,0,1,-3,-1,-2,-1,-1,0,-174,0.0,231,18,7
246,1,-19,0,0,-1,0,0,0,-346,-0.20000000000000018,-358,27,-23
8166,1,2,-3,-3,-3,0,0,0,-1454,-0.20000000000000018,-1205,20,-16
9223,1,2,-5,-5,-7,-1,0,0,-4370,-0.7999999999999998,-4504,-84,-9
8615,1,-25,2,2,-2,1,0,0,656,0.0,553,27,-16
9482,0,-1,1,-4,-7,1,0,0,-1984,-0.20000000000000018,-715,1,7
7726,1,-1,-2,4,6,-1,-1,0,2264,0.6000000000000005,1130,13,-17
6462,1,-36,3,-3,-1,0,0,0,-145,0.20000000000000018,120,12,5
6911,1,21,0,3,5,0,-1,0,2514,0.40000000000000036,1424,12,0
3311,1,3,0,3,3,1,0,0,1453,0.20000000000000018,1251,-13,0
7072,1,5,0,6,9,1,-1,0,4165,0.6000000000000005,2230,13,7
9675,0,-13,1,0,2,-1,0,0,1994,0.0,230,45,-3
5415,1,-4,-1,1,4,1,1,0,900,0.0,-802,-8,15
8740,0,-9,2,-5,-1,1,-1,0,-3695,-0.7999999999999998,-4018,-71,-18
1,0,0,0,0,3,-1,-1,-1,-2908,-0.20000000000000018,-1173,-66,-9
1369,0,-1,2,-1,1,-1,0,0,-1018,-0.20000000000000018,-828,-20,-10
5609,1,-2,0,0,-3,1,1,0,-335,-0.20000000000000018,-213,-19,-9
1949,1,-1,1,4,-1,1,-1,0,1712,0.20000000000000018,1983,-2,-8
1852,1,33,1,3,2,1,0,0,1754,0.6000000000000005,433,-18,22
5553,1,-9,-1,5,5,0,0,0,3257,0.7999999999999998,2138,17,4
7616,0,6,0,-7,-6,-1,-1,-1,-4075,-0.40000000000000036,-3154,12,-1
5154,0,0,3,3,5,0,0,0,1883,0.20000000000000018,973,21,-14
6764,0,-98,-2,-3,-3,-1,0,0,-1785,0.0,-940,-20,5
8239,1,3,0,8,6,1,0,0,4124,0.6000000000000005,3900,24,12
8957,1,30,0,1,0,1,1,0,85,0.0,-706,10,-15
1076,0,-14,0,0,3,0,0,0,213,0.20000000000000018,-583,-16,-9
5382,1,5,-3,-1,4,-1,0,0,1038,0.0,454,54,-22
1830,1,-45,-1,2,1,-1,-1,0,1775,0.20000000000000018,1652,13,-8
9522,1,2,1,-3,-6,-1,0,0,-1678,-0.20000000000000018,-959,-14,14
3084,0,-1,0,1,6,0,-1,0,775,0.8000000000000007,1702,15,6
4004,1,-13,0,-2,-5,1,0,0,-1428,-0.40000000000000036,-1532,-9,-12
7721,1,5,1,1,4,1,0,0,192,-0.40000000000000036,-1312,9,-11
4064,1,-2,0,-3,-3,-1,-1,0,-2707,-0.8000000000000007,-3132,-41,-16
9613,1,21,1,4,11,1,1,0,2663,0.40000000000000036,864,-11,6
1803,0,10,-4,0,-1,1,1,0,1792,0.20000000000000018,1300,55,12
1896,0,-3,0,0,-1,0,1,0,565,0.40000000000000036,2073,-12,-4
100,1,-4,2,-2,-7,1,0,0,-1370,-0.40000000000000036,-875,14,17
3030,1,-3,1,0,-3,-1,1,0,1259,0.40000000000000036,1281,49,-12
1788,1,16,2,-2,-3,1,1,0,-1003,0.0,-491,-16,-23
121,0,-28,14,-6,-6,-1,0,0,-3900,-1.1999999999999993,-3550,-42,-11
261,0,5,1,4,5,1,0,0,1143,0.0,1251,22,-16
3007,0,-23,0,-3,-3,-1,1,0,-820,-0.20000000000000018,-298,-14,11
8228,0,47,-3,-5,-8,0,-1,0,-3348,-0.20000000000000018,-1795,3,-18
4745,0,0,-1,-9,-11,0,0,0,-4374,-0.5999999999999996,-2570,-4,-8
4317,0,-3,2,1,-8,-1,0,0,120,0.40000000000000036,1543,38,-22
2496,1,-6,3,6,9,1,0,0,2914,0.5999999999999996,2052,20,5
6803,1,-3,-1,1,5,1,-1,0,69,-0.20000000000000018,-119,-36,13
7639,0,-10,3,-3,-3,1,1,0,-1691,-0.20000000000000018,-1608,-5,-7
6425,0,-3,-1,-2,-6,-1,0,0,-1984,-0.39999999999999947,-2084,-32,-3
8000,0,-4,-1,-5,-7,0,-1,0,-2529,-0.20000000000000018,-1607,-34,8
4494,1,1,1,-5,-4,1,-1,0,-2814,-0.40000000000000036,-2623,0,-13
3592,1,-21,3,2,4,0,0,0,1338,0.0,-385,34,-8
3626,0,-36,1,-2,-2,-1,0,0,-201,-0.20000000000000018,-1063,32,9
8597,0,26,2,-3,1,1,0,0,-1080,-0.20000000000000018,-1362,-24,13
4582,1,7,0,6,4,1,0,0,2093,0.6000000000000005,2151,-6,9
7845,0,-18,0,-4,-3,0,0,0,-2642,-0.40000000000000036,-2116,-19,-9
1501,1,23,-2,-1,2,0,0,0,-1966,-0.8000000000000007,-3189,-38,-11
7169,0,-3,0,-5,-6,-1,0,0,-3148,-0.40000000000000036,-2107,-4,-12
6826,0,48,-4,-6,-11,-1,0,0,-2764,-0.7999999999999998,-2934,-15,-6
5790,0,-48,2,-1,0,-1,-1,0,-657,-0.20000000000000018,-81,0,1
9618,1,-4,1,6,3,1,0,0,2547,0.40000000000000036,1386,22,-9
2047,1,0,-1,1,2,1,0,0,-666,-0.6000000000000005,-290,-16,-10
3578,1,20,4,1,-1,1,0,0,803,0.0,798,-23,24
8080,1,-35,1,-2,-6,-1,1,0,-1029,0.20000000000000018,754,-24,18
1939,0,20,4,-4,-6,-1,0,0,-1696,-0.20000000000000018,-1187,-21,-9
5994,1,-30,2,4,14,1,1,1,3451,0.0,202,-23,13
5029,0,-8,2,5,0,-1,-1,-1,411,0.5999999999999996,1075,3,12
8341,1,-11,0,1,5,-1,0,0,2071,0.20000000000000018,1096,28,11
1616,1,-2,1,2,2,-1,0,0,1211,-0.20000000000000018,-757,-9,-21
2272,0,-3,1,-5,-10,-1,-1,-1,-5337,-0.6000000000000005,-2474,-57,-20
4713,1,25,-1,-2,-4,0,0,0,-792,0.20000000000000018,-9,-1,-1
5059,0,4,0,-2,-2,0,-1,0,-1413,-0.20000000000000018,-729,-12,-8
8990,0,33,-1,1,8,-1,-1,-1,-1661,-0.20000000000000018,-1259,-24,-28
6364,0,-66,0,-5,-8,-1,-1,0,-3688,-0.6000000000000005,-4038,-4,-16
6205,0,-99,5,6,10,1,-1,0,3668,1.0,4509,41,14
6739,0,7,-1,3,0,1,0,0,2032,0.6000000000000005,2833,22,11
4291,1,2,5,3,-2,-1,1,0,2301,0.5999999999999996,2562,44,-12
3483,1,26,1,5,7,1,0,0,1996,0.40000000000000036,2078,0,12
1146,0,21,0,-3,-3,1,0,0,-2402,0.0,-1757,-48,2
8960,1,2,2,1,6,1,-1,0,-428,0.0,5,-8,-8
6937,0,-8,-4,1,0,1,0,0,-438,-0.40000000000000036,-634,-26,-5
2315,0,4,-3,-10,-13,0,0,0,-4225,-0.7999999999999998,-2478,-34,20
3817,1,-6,6,1,0,1,0,0,-152,0.20000000000000018,71,-25,4
7707,0,12,4,-3,0,-1,-1,0,-1091,0.0,-617,-9,-3
2979,1,43,-1,12,18,0,0,2,7776,1.6000000000000005,6703,103,15
6969,1,-2,-2,-7,-11,0,0,0,-3789,-0.8000000000000007,-4083,-27,0
2401,1,5,3,3,2,1,0,0,992,-0.20000000000000018,-609,-15,-9
3432,1,0,1,-1,-1,0,-1,0,-154,-0.20000000000000018,-193,-3,1
6939,1,-3,-2,-1,-5,1,0,0,-566,-0.20000000000000018,-1162,-1,1
7045,0,75,4,3,7,0,0,0,1293,0.20000000000000018,-262,-1,-7
9820,1,-8,1,-6,-8,-1,0,0,-3051,-0.20000000000000018,-2123,-5,5
9235,1,4,-2,4,1,-1,0,0,3242,0.20000000000000018,2227,41,15
6890,0,-6,0,2,3,0,0,0,1067,0.40000000000000036,1824,10,0
9765,1,-1,-3,-1,-1,0,0,0,813,0.0,1232,26,-3
59,0,-8,-1,3,5,-1,0,1,4633,0.6000000000000005,2269,54,13
5235,0,94,0,-6,-2,0,-1,0,-3516,-0.8000000000000007,-2677,-35,11
4226,1,4,-1,3,9,-1,0,0,2134,0.0,1500,3,20
5780,1,0,-2,-3,-6,1,0,0,-898,0.0,-655,57,3
8189,1,-4,-1,-2,4,0,-1,0,-1080,-0.40000000000000036,-1664,-36,-23
3477,0,4,-2,-8,-14,-1,0,0,-3196,-0.20000000000000018,-1322,22,-31
1401,1,-8,0,-2,-4,1,0,0,-861,0.0,131,6,23
6109,1,24,0,2,2,0,0,0,497,-0.20000000000000018,-743,-18,-15
1519,1,1,-5,5,4,-1,1,0,1256,0.0,-295,-42,-16
7482,1,-3,6,0,6,1,1,0,-206,0.20000000000000018,-363,-13,4
7749,0,27,0,-3,0,0,0,0,-629,-0.20000000000000018,-1232,10,23
2090,1,65,0,-4,-4,-1,1,0,-1126,0.0,-601,-17,23
5486,0,24,-3,0,0,-1,0,0,-677,0.0,-67,-24,4
2221,0,3,0,2,3,-1,0,0,1820,0.20000000000000018,1893,20,-1
4385,1,4,-3,3,2,-1,-1,0,2765,0.20000000000000018,1407,35,-10
8985,1,-107,-2,1,2,0,-1,0,1941,0.6000000000000005,846,40,3
8686,0,43,-6,-3,-3,-1,0,0,-1461,-0.40000000000000036,-799,-30,-3
3419,0,6,0,2,1,1,0,0,12,0.20000000000000018,161,-23,-20
8757,0,0,0,-7,-8,0,0,0,-2154,-0.6000000000000005,-2348,-16,6
678,1,3,1,0,-1,-1,1,0,-1222,-0.40000000000000036,-2334,-28,12
1081,0,38,0,-3,-2,1,-1,0,-2047,-0.20000000000000018,-2330,5,-23
4702,1,-14,3,-6,-6,-1,-1,0,-1757,-0.20000000000000018,-1856,20,-4
9271,0,-4,3,-6,-16,-1,0,0,-2115,-0.5999999999999996,-2872,-4,11
4907,0,-11,0,-10,-10,0,-1,-1,-6966,-1.1999999999999993,-4723,-68,2
9491,1,-3,1,3,3,1,0,0,1975,0.20000000000000018,802,12,8
3299,1,4,-2,4,5,1,1,0,2745,0.20000000000000018,1478,18,19
9832,1,0,-2,-2,-6,0,0,0,-162,-0.40000000000000036,-553,-7,9
8013,0,35,0,-3,-3,-1,-1,0,-890,-0.40000000000000036,-1261,4,32
9005,0,-2,2,-7,-2,-1,-1,0,-3803,-0.7999999999999998,-4020,-25,-22
8986,0,-35,-1,1,3,1,0,0,990,0.40000000000000036,1798,12,11
6561,0,0,0,-1,2,1,0,0,443,0.20000000000000018,1911,-2,16
8048,0,4,-1,0,-3,1,0,0,-258,-0.20000000000000018,569,-19,-4
3486,0,7,0,2,-1,-1,0,0,825,0.0,318,17,-1
3338,0,-3,1,-3,-9,-1,0,0,-1585,-0.20000000000000018,-280,-12,6
2650,0,9,-2,-4,-3,-1,0,0,-2440,-0.6000000000000005,-2239,-33,-3
8824,1,46,1,3,-7,1,0,0,2673,0.6000000000000005,2723,61,-1
553,0,18,-3,-3,-10,-1,1,0,-1538,-0.40000000000000036,-370,-8,7
8671,1,-5,-1,7,8,1,0,0,1968,0.40000000000000036,1173,-21,-4
7582,0,-4,1,1,-1,1,0,0,-496,-0.20000000000000018,-1184,22,-19
9858,1,22,0,-3,4,1,-1,0,-959,0.0,-1248,31,-15
4397,1,-1,-2,-10,-11,-1,1,0,-4876,-0.7999999999999998,-3481,-28,-4
6779,0,4,-3,-3,-7,-1,1,0,-1024,0.20000000000000018,940,6,21
1568,0,-5,1,-5,-5,-1,0,0,-4578,-1.0,-3673,-58,-47
3997,0,-13,2,1,2,-1,1,1,2445,0.0,-81,36,-30
5092,1,0,-1,11,7,1,1,1,6624,1.0,4865,61,-3
494,1,26,-2,0,3,0,1,-1,-589,0.20000000000000018,1794,-40,32
154,0,-3,0,-8,-13,-1,-1,0,-3109,-0.20000000000000018,-1745,-3,22
9584,0,4,-4,-3,3,1,-1,0,-781,-0.40000000000000036,-1559,10,16
737,0,-1,1,-2,-3,-1,0,0,-1325,-0.20000000000000018,64,-7,-13
3613,0,-3,0,0,1,1,0,0,1522,-0.20000000000000018,277,33,19
1993,0,-73,2,-5,-6,-1,-1,0,-2153,-0.6000000000000005,-2381,-10,-8
6971,1,-22,-2,5,1,1,0,0,3387,0.6000000000000005,2782,40,25
9317,0,-26,-1,-1,0,-1,0,0,-1183,-0.20000000000000018,-182,-23,3
2764,0,-1,0,-9,-7,0,0,0,-4401,-0.7999999999999998,-3035,-28,-1
3524,1,-17,1,5,7,-1,0,0,2211,0.20000000000000018,1501,-12,3
3021,0,-1,2,-10,-5,-1,-1,0,-5563,-1.0,-4698,-26,-26
706,1,-4,0,2,3,-1,0,0,912,0.20000000000000018,-241,0,-25
4505,1,-35,2,-3,-7,-1,-1,-1,-2847,-0.6000000000000005,-1355,-17,-9
3457,0,-25,-1,-4,-9,-1,0,0,-2395,-0.7999999999999998,-3117,-5,-11
8145,1,-4,1,-1,-7,0,1,-1,-2659,-0.20000000000000018,88,-37,3
1286,1,-149,-2,0,0,0,0,0,-856,0.0,-563,-27,-10
3881,0,69,3,9,6,1,0,0,5154,0.6000000000000005,3837,55,8
8873,1,25,2,7,4,1,1,1,4941,0.6000000000000005,3427,22,3
6790,1,1,-1,-1,-2,-1,0,0,-624,0.20000000000000018,1141,-25,8
2676,1,-4,1,4,3,-1,0,0,3827,1.0,3161,21,19
7859,1,-3,-1,-2,-7,-1,0,0,-633,-0.40000000000000036,-1089,14,-27
7918,0,-45,2,-2,-6,-1,0,0,-1787,-0.20000000000000018,-608,-51,3
3800,1,-7,3,2,6,1,1,0,940,0.0,503,4,-8
7932,1,-3,1,-3,-2,0,0,0,-3666,-0.7999999999999998,-2993,-66,0
9327,0,31,0,-3,-2,-1,1,0,-2178,-0.20000000000000018,-1407,-43,16
4608,1,-2,-2,1,-1,1,0,0,-216,0.20000000000000018,882,-23,-9
118,0,-2,0,-4,-3,-1,0,0,-3628,-0.20000000000000018,-2009,-70,0
8214,1,125,-6,-2,-1,1,0,0,-1371,-0.20000000000000018,-1951,-42,17
9785,1,0,0,-5,-7,1,1,0,-2249,-0.40000000000000036,-1547,30,-16
9077,1,7,-2,6,10,-1,1,0,3447,0.40000000000000036,1976,33,-24
5098,1,16,2,4,3,1,1,0,1722,0.39999999999999947,1514,21,3
4569,0,-14,0,-4,0,-1,-1,0,-2353,-0.40000000000000036,-2050,-24,3
3146,0,1,1,3,-1,-1,1,1,3534,0.6000000000000005,2345,50,-15
7821,0,-6,-2,-6,-6,1,0,0,-3637,-0.7999999999999998,-2456,-51,-14
9605,0,-14,4,-2,-1,1,0,0,-2212,-0.40000000000000036,-1666,-41,-8
883,0,6,2,0,2,-1,-1,0,-396,0.40000000000000036,481,-15,6
2840,1,4,2,-2,-5,-1,0,0,-17,-0.20000000000000018,-514,35,0
5204,0,8,3,5,5,1,1,0,3308,0.20000000000000018,2114,14,27
4657,0,84,1,-3,2,-1,0,0,-1514,0.0,-893,-15,8
1216,1,-20,2,4,6,-1,1,0,2569,0.40000000000000036,2378,14,15
7788,0,1,-2,1,5,1,0,0,2312,0.6000000000000005,2522,72,12
3127,1,0,-1,-5,-12,-1,-1,0,-2765,-0.7999999999999998,-2274,-12,-11
1571,1,17,3,-2,-4,-1,0,0,44,0.20000000000000018,170,-35,28
9746,1,21,0,-1,-1,1,0,0,-706,0.20000000000000018,-306,-32,-8
3710,0,-78,1,-3,-5,0,0,0,-2807,-0.20000000000000018,-1537,-56,10
8665,0,-7,0,-2,-4,-1,-1,0,-2027,0.20000000000000018,-114,-14,4
6378,0,-91,0,-6,-3,1,0,0,-4140,-0.6000000000000005,-2177,-43,14
1182,0,-48,-3,-4,-10,-1,0,0,-1217,-0.20000000000000018,-539,-1,20
6196,1,89,-2,0,1,-1,1,0,342,0.0,-444,3,-3
4514,1,-2,2,0,-3,-1,0,0,353,0.0,-160,17,-3
7762,1,1,-2,1,5,0,-1,0,270,0.40000000000000036,638,16,4
1271,1,-5,-1,1,2,0,0,0,-44,-0.40000000000000036,-1601,-31,-3
5430,1,64,2,4,4,1,1,0,1241,0.40000000000000036,2416,-30,0
8037,1,25,3,1,0,0,0,0,495,0.0,21,-7,8
7899,0,7,3,1,-6,0,0,0,1287,0.5999999999999996,440,2,-16
6723,0,-2,-1,-1,0,-1,0,0,-228,0.0,-387,-18,14
8482,0,-2,1,-2,0,1,-1,-1,-2696,-0.20000000000000018,70,-39,32
1915,0,-46,2,-6,-9,0,-1,0,-1579,0.0,-655,31,4
6108,1,-53,0,3,8,1,0,0,1890,0.39999999999999947,1473,27,-9
6449,0,-4,-1,4,4,0,0,0,1686,0.0,886,15,-28
2775,1,5,-2,-1,1,0,-1,0,-1134,-0.39999999999999947,-906,-25,7
9669,0,-23,12,-4,-4,-1,1,0,-1234,-0.20000000000000018,26,4,9
5981,1,0,-2,4,2,1,0,0,2348,0.6000000000000005,2678,23,-4
194,0,-2,-2,-5,-10,1,0,0,-2308,-0.6000000000000005,-1767,-15,11
6605,1,-2,0,2,1,-1,0,0,1740,0.40000000000000036,929,32,8
9303,0,0,1,2,1,0,1,0,1641,0.20000000000000018,1439,34,-13
6528,0,2,2,-2,2,0,0,0,47,-0.20000000000000018,-856,-16,7
3357,1,3,-3,-2,-5,1,-1,0,-1065,0.20000000000000018,502,4,9
8777,0,0,-3,-1,-3,-1,0,0,-100,0.0,-120,17,-7
6001,1,-8,2,2,1,1,0,0,433,-0.20000000000000018,-323,-45,4
7774,1,1,-1,4,5,0,1,0,2927,0.6000000000000005,3135,35,8
8924,0,-1,2,-3,3,1,0,0,-2550,-0.40000000000000036,-1985,-36,-4
7090,1,14,0,8,12,0,0,0,4519,0.5999999999999996,2852,29,5
6842,0,-4,3,4,11,0,0,0,1077,0.40000000000000036,1096,11,-23
8393,1,10,-1,3,5,1,1,0,1923,0.20000000000000018,734,3,9
6193,1,4,-2,-1,-2,1,1,0,-27,-0.20000000000000018,-371,15,2
1988,1,36,-2,6,9,1,0,1,3618,0.0,1086,-1,5
2063,0,-1,2,1,2,1,-1,0,589,0.20000000000000018,675,31,-18
2622,1,-7,2,3,4,0,0,0,3686,0.40000000000000036,1471,53,0
825,1,-31,-1,11,13,1,0,0,5323,0.5999999999999996,2352,45,-12
1635,1,2,-1,2,4,0,1,0,-19,0.0,-1122,-44,-15
3397,0,2,-3,0,-6,-1,0,0,-787,0.20000000000000018,-926,-3,-6
7160,1,-6,4,4,3,-1,0,0,2004,0.0,385,42,-9
6624,0,-4,-3,-5,-6,-1,-1,0,-2055,-0.20000000000000018,-214,-2,4
610,1,6,-3,7,4,0,0,0,3525,0.7999999999999998,2979,-2,12
3100,0,-35,-2,-4,-3,0,-1,1,-833,-0.40000000000000036,-1786,-10,-9
3316,0,9,-4,-4,-5,-1,0,0,-2234,-0.40000000000000036,-3264,-7,-23
8368,0,2,-2,1,2,1,0,0,1004,0.40000000000000036,211,22,-9
7927,1,2,1,1,1,1,0,0,1287,0.40000000000000036,603,13,2
6099,1,-19,0,4,5,1,0,0,2898,0.0,1941,54,-1
9697,1,-6,-3,-1,-4,-1,1,0,954,0.0,1154,28,17
775,1,-4,0,-2,0,-1,0,0,-2335,-0.6000000000000005,-2787,-18,-41
2225,1,10,0,-3,-4,-1,0,0,-1966,-0.40000000000000036,-1998,-11,-13
6955,0,-3,-2,-4,-7,1,0,0,-2080,-0.20000000000000018,-1117,-36,0
3566,1,-1,2,4,3,-1,0,0,2341,0.20000000000000018,2225,32,-10
3218,0,-3,1,-5,-8,-1,-1,0,-3232,-1.0,-2573,-5,-49
3447,1,6,1,1,0,-1,-1,0,-429,0.0,55,-26,1
591,0,4,-2,-5,-1,-1,0,0,-2028,-0.40000000000000036,-1740,-31,-8
808,1,1,2,5,4,0,0,0,2527,0.6000000000000005,3473,34,-7
4553,0,-3,0,-4,-7,-1,0,0,-2528,-0.20000000000000018,-993,6,-10
8992,1,13,-1,-3,-2,-1,-1,0,-2601,-0.6000000000000005,-3694,-21,-3
6821,1,22,2,-5,-1,0,0,0,-2494,-0.20000000000000018,-996,-30,8
392,1,61,1,6,15,1,-1,0,1849,0.6000000000000005,669,-4,-10
8253,1,-6,4,3,2,1,0,0,1402,0.40000000000000036,1512,-18,15
1317,0,-2,1,-1,4,0,0,0,-1779,-0.20000000000000018,-354,-52,0
2823,1,4,1,3,4,0,0,0,2201,0.0,374,4,9
6966,0,-4,0,-4,-4,-1,-1,-1,-3924,-0.7999999999999998,-3699,-50,-24
