,FirstBlood,WardsPlacedDiff,WardsDestroyedDiff,KillsDiff,AssistsDiff,Dragons,Heralds,TowersDestroyedDiff,GoldDiff,AvgLevelDiff,ExperienceDiff,CSdiff,JungleMinionsKilledDiff
6762,0,7,-1,-3,-11,-1,0,0,-1534,-0.40000000000000036,-1425,-9,16
3438,0,-8,1,-7,-11,1,0,0,-3402,-0.40000000000000036,-1459,-7,5
8213,0,-92,-4,-1,-5,-1,1,0,-1219,-0.20000000000000018,-759,-18,-11
2390,0,-1,3,0,2,1,-1,0,1007,0.20000000000000018,1105,55,0
8277,0,-34,15,-5,-3,-1,0,0,-2834,-0.5999999999999996,-2773,13,-16
7077,0,1,-1,1,5,-1,0,0,1136,0.0,376,12,-6
3771,1,4,2,3,7,1,-1,0,-92,-0.40000000000000036,-1411,-5,-30
1307,0,-1,3,0,-3,1,0,0,-492,-0.40000000000000036,-173,-13,8
5783,0,17,1,-2,-2,0,0,0,-1171,0.0,-11,9,9
2161,1,22,-2,-2,3,1,0,0,-2720,-0.5999999999999996,-2680,-65,-35
6540,0,-2,-1,-4,-5,-1,1,0,-3290,-0.40000000000000036,-1243,-40,-3
5093,1,-19,3,6,5,1,0,0,2659,1.2000000000000002,2757,-7,18
5692,0,-111,4,5,1,-1,0,0,1912,0.40000000000000036,1686,22,-10
187,0,2,2,2,9,1,1,0,510,0.0,142,-37,4
2357,1,0,-1,-1,-5,1,-1,-1,-3686,-0.6000000000000005,-2333,-34,-6
6151,0,-30,0,0,-2,1,0,0,-1999,-0.5999999999999996,-2041,-56,-10
2711,0,0,-2,-4,-2,-1,0,0,-2523,-0.20000000000000018,-732,-7,4
4447,0,0,0,-5,-4,0,1,0,-1977,-0.40000000000000036,-700,6,12
3943,0,-6,-3,-1,6,1,-1,0,330,0.20000000000000018,-308,55,-16
4468,0,-2,1,3,3,1,1,0,-101,0.0,-556,-32,-15
6297,0,0,1,-9,-15,-1,0,0,-4921,-0.5999999999999996,-2826,-43,-16
1498,0,0,-1,-1,2,0,-1,0,-394,-0.20000000000000018,-1635,-11,-24
2793,1,-35,1,4,10,1,0,0,2357,0.39999999999999947,1436,32,-4
1022,1,17,0,-3,-5,-1,0,0,-2127,-0.20000000000000018,-1619,-35,-19
5634,1,3,3,1,1,0,0,0,981,0.20000000000000018,369,-24,40
9138,1,8,-1,4,7,0,0,0,2864,0.7999999999999998,3193,33,7
5792,1,-6,2,9,12,1,0,0,4254,0.8000000000000007,3059,5,-1
3789,1,-1,1,8,5,1,-1,0,3988,1.0,4246,30,-7
842,1,2,-1,6,8,-1,0,0,2366,0.40000000000000036,1147,-38,3
4985,0,-1,-4,-3,-10,-1,0,0,-1769,-0.40000000000000036,-1859,30,-39
6409,1,26,-18,-2,-3,-1,-1,-1,-2100,-0.20000000000000018,-925,5,0
7651,0,6,-1,-4,-2,1,0,0,-2522,-0.5999999999999996,-1763,-5,-8
2887,0,-1,-2,1,4,-1,0,0,-305,0.20000000000000018,685,2,-18
1457,0,2,2,2,-3,1,0,0,-733,0.0,-541,-17,7
9550,1,-38,2,-3,-5,-1,1,0,-1001,0.0,-543,-6,27
4245,1,1,0,-1,1,0,0,0,-1534,0.0,-1073,-20,-15
3753,0,46,1,5,5,1,0,0,2789,0.39999999999999947,2000,15,0
2537,0,-3,2,-4,-2,-1,0,0,-2263,-0.39999999999999947,-2155,-42,5
7844,0,4,-1,3,3,1,1,0,1982,0.8000000000000007,2243,35,4
7149,1,2,-1,3,6,1,0,0,312,-0.20000000000000018,-613,-29,-6
4742,1,28,-1,-1,-3,-1,0,0,-721,-0.20000000000000018,-1118,-17,-10
6082,0,0,0,-6,-4,1,0,0,-2524,0.0,-376,-24,7
8517,1,1,-2,0,-2,0,0,0,176,0.0,789,-21,-9
9481,0,2,-1,1,-2,-1,0,0,1110,0.0,974,29,-1
9688,0,-30,-1,-5,-5,-1,-1,0,-3051,-0.6000000000000005,-2198,-30,-9
3768,1,-4,1,1,1,1,-1,0,1694,0.40000000000000036,1199,23,10
3582,0,-2,3,-1,-4,0,0,0,-1478,-0.39999999999999947,-1657,-4,-8
1770,0,-9,2,-6,-10,-1,0,0,-3746,-0.7999999999999998,-3014,-43,-9
3885,0,-23,0,-8,-6,0,0,0,-3983,-1.0,-3676,-55,26
7215,0,2,-5,-3,-2,0,1,0,-1271,-0.20000000000000018,101,-41,26
7999,1,2,2,6,6,0,0,0,2621,0.20000000000000018,2483,4,-8
5910,0,38,-1,0,3,1,0,0,135,0.40000000000000036,794,-26,12
6137,0,-122,-1,3,3,-1,-1,0,2049,0.20000000000000018,699,24,-26
2613,1,1,-1,1,1,1,1,0,969,0.20000000000000018,-42,3,5
1563,1,0,1,1,1,1,-1,0,-1143,0.0,-859,-53,9
4623,0,-2,1,0,-5,-1,0,0,-848,0.0,-4,24,-8
1075,1,-1,1,-1,-2,0,0,-1,-1045,-0.40000000000000036,169,4,20
7371,1,9,-1,2,7,1,0,0,124,-0.6000000000000005,-2259,-17,-18
7485,0,33,2,10,16,0,0,0,4680,0.6000000000000005,2780,7,-1
2062,0,-71,1,2,2,-1,0,0,550,0.20000000000000018,1023,9,8
7921,1,7,2,-3,-4,-1,-1,0,-1756,0.0,-985,-51,16
7924,0,0,-1,9,14,1,0,0,4882,0.6000000000000005,2658,14,0
1322,1,2,0,2,4,0,1,0,895,0.20000000000000018,910,-29,6
9460,0,-2,-1,-8,-11,-1,-1,0,-4785,-0.6000000000000005,-3229,-10,-12
9818,1,2,-1,3,2,-1,0,0,2587,0.40000000000000036,1971,18,-5
5766,0,4,0,5,3,-1,1,0,2962,0.20000000000000018,1156,49,-35
6289,1,-103,-1,-1,-4,-1,0,0,856,-0.40000000000000036,-268,11,1
3012,1,-1,-1,-4,-10,0,0,0,-1037,-0.40000000000000036,-1057,12,-3
1766,0,-12,-1,-13,-10,0,0,-1,-9152,-2.0,-8290,-117,-38
4491,0,-4,0,-3,-3,0,0,0,-936,-0.20000000000000018,-624,32,13
4499,1,-1,-1,2,3,0,0,0,-174,0.0,-35,-3,-14
3981,1,0,0,6,7,0,0,0,2348,0.20000000000000018,1462,13,-1
5599,0,-4,3,0,-4,0,0,0,671,0.40000000000000036,804,24,6
3162,1,-4,-1,10,11,0,1,1,5521,0.8000000000000007,4435,-20,21
2755,1,2,0,1,-2,-1,0,0,117,0.20000000000000018,-113,-10,-4
1598,0,4,0,5,5,0,1,0,1923,0.40000000000000036,437,-11,7
9827,1,76,0,8,12,1,0,0,3886,0.40000000000000036,1777,18,-3
2379,1,-2,2,1,2,-1,0,0,222,0.0,-72,6,-4
8289,0,1,-2,-7,-9,1,-1,0,-4668,-0.7999999999999998,-3772,-16,-19
2460,1,-24,0,-3,-3,1,0,0,-874,-0.5999999999999996,-1276,-1,8
2043,0,0,4,4,6,-1,0,0,1709,-0.20000000000000018,880,17,-20
6784,1,-1,3,8,6,1,1,0,3807,0.40000000000000036,1830,27,1
8675,1,-1,2,-5,-8,1,1,0,-2497,-0.5999999999999996,-2400,-49,8
8543,0,1,-2,1,-4,1,-1,0,-117,0.40000000000000036,815,21,-18
885,1,-5,-2,-6,-4,-1,-1,0,-1302,-0.40000000000000036,-1959,28,0
2494,1,11,0,-5,-10,-1,-1,0,-2557,-0.6000000000000005,-2229,-10,-5
8929,0,-28,1,6,6,1,1,0,3175,0.40000000000000036,1975,31,16
1190,0,-42,0,-3,-4,1,1,0,-1481,-0.40000000000000036,-1506,13,-4
1582,0,-5,1,2,3,-1,1,0,2046,0.0,584,45,-5
1866,1,-6,3,-2,-2,-1,0,0,-714,-0.20000000000000018,233,23,-8
1116,0,4,-3,2,3,-1,0,0,2346,0.5999999999999996,1424,41,9
7855,1,38,-1,-7,-7,1,0,0,-3638,-1.0,-3337,-5,-15
6720,0,25,-2,-6,-7,-1,0,0,-3805,-0.40000000000000036,-2093,-39,-8
1758,1,3,0,3,2,1,1,0,693,0.0,-204,26,-7
8397,0,-6,1,-7,-13,-1,-1,-1,-4814,-1.0,-3701,-24,-11
4940,1,-3,1,5,7,0,0,0,1871,0.8000000000000007,2897,-49,20
7618,0,-3,-4,-5,2,-1,-1,0,-1882,-0.7999999999999998,-1917,36,-28
2284,1,3,0,0,5,0,0,0,1212,-0.20000000000000018,-257,10,8
3390,0,-8,4,-7,-6,-1,-1,0,-3593,-0.8000000000000007,-3086,-6,-20
1815,1,-21,3,6,5,1,0,0,2123,0.0,1612,10,-8
1670,0,-5,-1,-2,-2,-1,0,0,-1343,-0.1999999999999993,-768,-1,8
7205,1,4,0,4,4,0,0,0,2326,0.20000000000000018,987,34,-1
1855,1,-45,0,3,2,1,-1,0,1015,0.6000000000000005,1543,-10,36
5112,0,7,-5,0,1,1,-1,0,-1015,-0.40000000000000036,-1395,-53,16
3783,1,3,2,3,1,0,0,0,2735,0.40000000000000036,1076,28,5
5428,0,2,-2,0,-6,1,1,0,151,0.39999999999999947,1281,1,32
8702,0,103,-1,2,0,0,0,0,803,0.1999999999999993,490,3,-4
6086,0,29,2,-1,-3,1,-1,0,-773,0.0,609,34,-6
5031,0,1,3,4,7,1,0,0,2170,0.39999999999999947,1383,19,-1
7863,0,0,-1,-5,-4,0,-1,0,-3510,-0.7999999999999998,-3014,-63,-1
8679,0,-1,1,-7,-19,1,1,0,-4177,-0.40000000000000036,-1640,-27,7
7888,1,-2,2,5,4,1,0,0,2691,0.6000000000000005,2052,13,2
9034,1,1,2,8,12,1,0,0,3272,0.6000000000000005,1914,-10,0
9846,1,3,2,0,-1,1,0,0,428,0.20000000000000018,400,22,-9
1526,1,3,3,4,5,1,1,1,3999,0.40000000000000036,2223,38,14
7471,0,3,1,-5,-3,-1,-1,0,-3559,-0.40000000000000036,-3320,-33,-24
4836,1,0,1,-9,-7,-1,0,0,-3678,-1.0,-3234,-28,0
2683,1,-21,-1,5,4,-1,-1,-1,982,0.40000000000000036,1653,37,-2
3454,1,2,0,3,0,0,0,0,1451,0.0,1154,8,5
843,0,3,0,0,5,1,-1,0,248,0.20000000000000018,-219,-16,-11
9757,1,57,-1,2,2,1,0,0,1447,-0.20000000000000018,-149,20,1
7132,0,26,1,-6,-8,1,1,0,-1949,-0.20000000000000018,-18,2,9
80,1,27,6,7,6,-1,1,0,2856,0.20000000000000018,1262,46,-29
2133,1,41,1,2,2,-1,0,0,901,-0.20000000000000018,-1138,-16,0
391,0,-19,0,-7,-8,1,1,-1,-4847,-0.8000000000000007,-2983,-8,-4
3974,0,-3,-2,-9,-14,0,0,0,-5945,-0.40000000000000036,-2122,-37,-7
744,1,-23,-2,-1,2,1,-1,0,-2141,-0.40000000000000036,-2439,-35,-14
6187,1,3,1,1,7,-1,0,0,67,-0.40000000000000036,-820,-42,-11
2530,1,-5,3,6,9,-1,0,0,2695,0.5999999999999996,1787,4,-8
2790,0,0,2,6,8,0,-1,0,2329,0.6000000000000005,2416,-43,-14
4270,0,4,-1,4,2,1,0,0,2358,0.7999999999999998,2590,11,24
6269,1,3,1,10,14,1,0,0,7577,0.40000000000000036,2363,47,4
7804,1,-5,1,0,4,-1,1,0,484,0.0,-614,0,-5
1580,1,1,1,1,1,0,0,0,446,0.20000000000000018,263,-13,7
1706,1,-20,-1,1,1,1,-1,0,1137,0.0,-609,-1,-4
7812,0,-1,-2,-4,-8,0,0,0,-1806,-0.40000000000000036,-541,4,0
6913,0,32,0,-4,-6,-1,0,0,-2287,0.0,-735,2,18
1381,0,-2,-2,-3,-4,-1,0,0,-2889,-0.40000000000000036,-2106,-31,-12
219,0,6,4,-1,2,-1,0,0,-334,0.20000000000000018,-73,5,7
7558,0,-11,-1,2,0,-1,0,0,1530,0.40000000000000036,2305,29,1
3109,0,3,-1,0,-5,0,1,0,85,0.20000000000000018,765,3,15
2500,1,1,-1,-1,-5,0,1,0,-1618,-0.20000000000000018,-1224,-38,11
827,0,1,-2,-6,-7,1,0,0,-2705,-1.0,-1757,-38,10
5581,0,0,1,3,1,0,0,0,36,0.20000000000000018,1099,-15,4
269,0,-14,0,-5,-8,-1,1,0,-4324,-0.5999999999999996,-2979,-40,-6
2893,1,-6,1,-5,-3,-1,0,0,-1905,-0.7999999999999998,-2223,-18,-10
8736,0,28,-3,4,9,1,0,0,1520,0.40000000000000036,1168,0,1
3569,0,18,1,-5,-8,-1,0,0,-4808,-1.2000000000000002,-4098,-39,-34
6395,0,74,-2,-2,-3,-1,0,0,-740,0.0,396,-19,1
3392,1,-16,-2,6,4,-1,0,0,3476,0.20000000000000018,2025,22,-9
2987,1,-27,16,2,2,1,0,0,886,0.0,355,6,-3
2578,1,-2,4,1,0,0,-1,0,654,0.5999999999999996,823,21,-13
5633,1,-6,0,1,-2,1,-1,0,599,0.20000000000000018,267,23,3
8174,1,1,1,3,0,0,0,0,2717,0.5999999999999996,2815,51,1
1525,0,-11,-1,-1,1,-1,0,0,-371,-0.20000000000000018,-172,-6,-21
5271,0,-1,0,-4,-3,-1,-1,0,-3225,-0.8000000000000007,-1705,-53,-19
4025,0,-1,-2,3,7,-1,0,0,3227,0.6000000000000005,1158,56,-5
9532,1,44,-7,3,-1,1,1,0,1063,0.20000000000000018,1153,-18,1
2210,0,-3,-2,-5,-5,-1,0,0,-2173,-0.6000000000000005,-2274,2,-3
1056,1,-110,0,5,5,1,0,0,3195,0.20000000000000018,1370,8,-9
5238,0,7,0,6,7,0,0,0,2445,0.40000000000000036,1767,-38,16
5327,0,-4,0,-3,-5,-1,0,0,-435,-0.20000000000000018,-427,29,-17
3625,1,2,0,1,1,-1,0,0,753,0.20000000000000018,263,-6,-3
3606,0,-2,1,-3,-4,1,0,0,-2292,0.20000000000000018,-810,-4,-12
8588,0,3,-2,-5,-5,-1,-1,0,-3075,-0.40000000000000036,-2008,-2,0
5610,0,0,2,6,5,-1,0,0,2915,0.6000000000000005,3259,57,8
5684,1,-8,-3,3,5,1,-1,0,1468,0.0,195,12,-1
3535,1,-1,-1,-2,-2,0,-1,0,-887,-0.40000000000000036,-1878,24,-33
8642,1,11,3,5,7,1,1,0,3203,0.39999999999999947,1830,54,-5
7486,1,1,2,5,6,1,0,1,2702,0.20000000000000018,1047,13,-10
636,0,3,0,3,3,-1,0,0,583,0.0,751,28,-23
6126,1,-1,-2,2,2,1,-1,0,450,0.20000000000000018,-219,-10,-14
7378,0,9,-1,-2,-4,1,0,0,-2128,-0.20000000000000018,264,-37,20
2201,1,1,2,-2,-1,-1,0,0,-635,-0.6000000000000005,-2299,7,-5
7513,1,-4,1,2,2,-1,0,0,1269,0.0,-422,2,-4
556,0,3,-2,2,3,0,0,0,640,-0.20000000000000018,-120,-2,-3
3406,0,-72,1,-3,-6,1,0,0,-959,0.0,-1002,28,-6
5321,1,-2,2,5,4,0,0,0,4666,1.0,4288,65,28
6984,1,4,-1,5,6,1,0,1,3112,0.5999999999999996,535,5,-4
6424,0,4,1,0,0,0,0,0,909,0.20000000000000018,2001,36,17
7667,0,6,1,-7,-12,-1,0,0,-3643,-0.5999999999999996,-3628,-28,-19
5228,0,2,-1,0,4,1,0,0,-17,-0.40000000000000036,-1171,-31,-9
7417,1,9,-1,0,-1,-1,1,1,1139,-0.20000000000000018,-885,1,-2
2444,0,6,2,4,10,1,0,0,525,0.20000000000000018,476,-16,1
4644,1,0,2,5,8,1,1,0,3149,0.40000000000000036,2125,-4,23
8605,1,38,2,5,9,1,0,0,2647,0.40000000000000036,2948,26,11
8463,0,-3,4,-3,-7,-1,1,0,-977,-0.20000000000000018,271,1,-11
5139,1,-2,0,-2,0,1,0,0,-1381,-0.40000000000000036,-907,-18,-17
3277,1,-5,2,-4,-4,-1,-1,0,-1851,-0.20000000000000018,-1813,-7,-19
9659,1,-9,3,1,-2,1,0,0,-35,0.20000000000000018,317,26,7
4853,1,7,1,4,8,1,1,0,3290,0.20000000000000018,1398,0,16
816,0,47,1,-2,-6,-1,0,0,506,-0.20000000000000018,1580,39,27
3052,0,-55,-2,-3,-13,-1,0,0,-3750,-1.4000000000000004,-4961,-34,-11
8500,1,0,0,8,8,-1,-1,0,5241,1.0,3129,24,1
7455,1,-5,2,4,4,0,0,0,2956,0.39999999999999947,2140,49,2
6110,1,-1,4,2,3,-1,0,0,2537,0.6000000000000005,2412,16,17
5715,0,9,0,4,8,1,1,0,2691,0.7999999999999998,2585,-12,27
2528,0,-4,-1,1,5,0,0,0,929,0.20000000000000018,1800,1,-2
4797,1,-23,0,-1,-1,-1,1,0,-1314,0.20000000000000018,-1027,-39,8
7420,1,2,0,-4,-14,0,0,0,-322,-0.40000000000000036,-716,31,20
5165,1,32,0,11,20,-1,0,0,4565,0.39999999999999947,2632,-8,19
1748,0,-4,-2,-5,-5,0,-1,0,-1824,-0.20000000000000018,-613,35,-7
8340,0,-22,1,-4,-5,0,0,0,-2438,0.0,-1929,-34,15
8808,0,6,0,7,0,1,0,0,4747,0.6000000000000005,2924,39,25
8502,1,0,-4,1,2,-1,-1,0,1419,0.20000000000000018,1036,37,-19
1005,1,3,0,0,6,0,0,0,1256,0.0,301,-2,18
5322,0,22,-1,0,6,1,1,1,1167,0.0,-431,3,-5
839,1,-42,2,5,7,1,1,1,4234,0.6000000000000005,1695,13,19
5156,0,0,-4,-4,-4,1,0,0,-3060,-1.0,-2937,-32,-3
9866,0,-22,0,-1,-5,1,0,0,670,0.20000000000000018,1446,35,19
2447,1,-3,0,4,6,-1,1,0,1923,0.20000000000000018,1300,-6,8
7679,0,-1,0,-4,-1,1,0,0,-1769,-0.20000000000000018,-587,-24,16
4490,0,-2,1,5,9,1,0,0,3866,1.1999999999999993,3496,57,16
1703,1,-1,2,1,1,1,0,0,53,0.20000000000000018,-114,20,-13
2873,1,-5,5,1,1,-1,1,0,296,0.0,440,18,-15
1451,0,6,-2,2,1,-1,0,0,428,0.0,687,-4,13
1773,0,4,-1,-2,1,1,0,0,-575,-0.20000000000000018,-1680,-29,19
4575,1,1,-4,-2,-1,-1,0,0,-1115,-0.20000000000000018,-883,-15,-17
3414,0,-24,-1,-4,-1,-1,0,0,-575,-0.40000000000000036,-1495,34,0
2559,0,-3,3,-1,3,-1,-1,0,-1603,-0.40000000000000036,-1406,-62,-10
4861,1,-5,0,1,-2,0,0,0,-908,-0.40000000000000036,-1806,-27,-5
6181,1,-3,-1,6,13,0,0,0,2917,0.20000000000000018,930,-2,-14
740,1,2,-2,1,-2,-1,0,0,1745,0.20000000000000018,1180,28,-4
6892,0,0,-2,-1,0,1,-1,0,-767,0.0,-606,-20,0
334,1,35,-2,5,10,1,0,0,1892,0.20000000000000018,890,-39,3
6965,0,3,0,-7,-17,-1,0,0,-4681,-0.5999999999999996,-2497,-31,-11
8754,0,-7,-1,1,2,-1,-1,0,124,0.0,-46,-13,-4
2514,1,2,1,3,2,1,0,0,1578,0.0,495,-5,8
6435,1,1,0,4,3,1,0,0,1330,0.0,854,-6,10
5915,0,-11,-2,1,6,-1,-1,1,2595,0.40000000000000036,776,24,-11
4016,0,-41,-2,-4,-8,1,1,0,-2861,-0.6000000000000005,-2348,-73,1
8420,0,-4,-1,-4,-5,-1,-1,0,-2733,-0.6000000000000005,-2104,-8,-16
703,0,-1,-3,0,2,-1,0,0,-615,0.20000000000000018,-347,-4,-8
2358,0,-1,1,-5,-17,-1,0,0,-2564,0.0,170,13,0
463,0,-3,-6,0,0,-1,0,0,-1327,-0.20000000000000018,-789,-23,-20
7745,1,3,-1,1,0,-1,0,0,2000,0.20000000000000018,1065,50,9
6589,1,8,-3,1,0,-1,0,0,-348,-0.40000000000000036,-901,-40,-4
3935,0,-2,-4,-8,-6,-1,0,0,-3660,-1.0,-3282,-47,1
1249,1,-2,1,1,-5,1,-1,0,-1918,-0.40000000000000036,-1739,-19,-31
5288,1,3,2,6,9,-1,0,0,1887,0.20000000000000018,519,-15,-36
7199,1,0,1,3,10,0,0,0,784,-0.6000000000000005,-2929,-12,-51
9072,0,0,1,3,5,-1,0,0,1017,0.0,547,-4,4
2208,0,-27,-1,3,8,-1,0,0,1595,0.20000000000000018,-63,-4,-21
5876,1,1,0,5,7,-1,0,0,3113,0.7999999999999998,2284,31,1
1387,1,2,2,-2,5,1,-1,0,271,0.0,22,10,-10
5466,1,-1,0,11,14,1,0,1,8284,1.0,4654,49,20
2006,0,-4,2,2,7,1,0,0,742,-0.20000000000000018,-654,-39,8
2771,1,2,0,-1,-1,1,-1,0,-833,-0.40000000000000036,-1021,-61,-8
4809,1,7,0,10,9,1,1,0,5372,0.7999999999999998,4626,64,-8
4058,0,4,0,-7,-6,-1,0,0,-2281,-0.40000000000000036,-1283,-15,4
9454,0,-5,2,-2,-5,1,1,0,-702,0.5999999999999996,746,0,31
9200,1,-19,1,3,3,1,0,0,1804,0.20000000000000018,1547,40,1
3621,0,5,0,4,2,1,1,0,2643,0.7999999999999998,3340,24,7
871,0,-4,-1,-1,1,-1,0,0,-957,-0.40000000000000036,-2267,-25,-23
5226,1,1,-1,3,5,-1,0,0,920,0.20000000000000018,1488,9,3
359,1,4,-5,-3,-2,0,0,0,-883,-0.40000000000000036,-1828,30,8
