,blueWins
9490,0
5131,1
9309,1
8826,1
3717,1
9162,0
3436,1
8787,0
1799,0
2947,0
8400,1
8657,1
9768,1
8831,0
405,0
4536,0
6865,1
8167,0
7671,1
6103,0
3591,1
6999,0
6728,0
4242,0
2583,1
1263,0
3953,0
1086,1
7187,0
3391,1
5118,1
6867,1
9544,0
1270,0
1017,1
9031,0
567,1
7246,1
5527,1
6118,1
5958,0
4786,0
5939,0
3399,0
3782,1
4892,1
1396,1
1662,0
1913,1
2030,1
6813,1
9687,1
952,1
8952,1
2223,0
3767,1
527,1
5966,0
8899,1
8299,0
2204,0
8444,1
8838,0
2678,1
6360,1
3361,1
1656,0
2516,1
6430,0
2557,1
8875,1
1588,0
2016,1
6275,1
1175,0
1269,1
4019,1
6835,0
7092,1
5461,1
2716,1
8078,1
8841,1
3306,0
5636,0
412,0
6658,1
2165,0
830,0
4219,1
7489,1
7974,0
2541,1
2052,1
581,1
1710,1
3412,1
3814,1
2859,0
8353,1
5360,1
8217,0
6348,0
3180,0
7244,0
3410,1
7322,0
6953,0
3523,0
9586,1
3596,0
3069,0
7325,1
1388,0
5982,0
7791,1
3724,0
807,0
3045,1
7952,1
8117,0
4235,0
9869,0
4263,1
3598,0
2902,0
4111,1
2652,1
4156,0
988,0
9403,0
501,1
732,0
750,1
5284,1
5066,1
1300,0
8643,1
2017,0
2658,0
8915,0
2147,1
2327,0
9071,1
355,0
2488,1
4311,1
7118,0
8563,1
2253,0
9718,1
6073,0
4632,0
6688,0
6285,0
817,1
779,1
4588,1
3797,0
9591,1
6007,1
9330,1
1884,0
7364,1
422,1
1892,0
844,1
9006,0
2091,0
5264,0
4486,1
9159,0
5275,1
4095,0
2484,0
4231,0
1825,0
413,1
7295,1
5724,1
1902,0
8018,0
6914,0
9242,1
7771,1
5167,0
9146,1
8849,1
691,1
6491,1
7811,0
1083,1
9715,1
4395,0
1080,1
6062,1
4165,1
1517,0
6059,1
7348,0
8298,0
6610,1
2815,0
4109,0
6641,1
8372,1
548,1
6714,1
8286,0
7737,0
6730,1
9786,1
2888,1
9356,0
8653,0
4941,0
2989,0
1471,1
997,1
3083,0
6204,1
2453,1
65,0
7664,1
207,1
5013,1
4063,1
5600,0
3603,0
1621,0
1874,0
6759,0
3155,1
4615,1
3830,0
8356,0
9695,0
7714,0
1196,0
9096,0
3547,0
3972,0
9221,0
5472,1
1226,1
8913,0
4249,1
1170,0
454,1
8776,0
9555,0
8473,1
9188,1
2478,1
4807,1
300,0
7777,1
5928,0
7969,1
2923,0
2597,0
2368,0
5038,0
1512,0
728,0
9325,0
8300,1
1353,0
3970,0
2120,1
9361,0
5230,1
3521,0
1905,1
2143,1
9463,1
9571,0
3988,1
745,0
2291,1
1000,0
1406,1
7422,0
6025,0
1238,0
2124,1
8888,0
4992,1
3115,1
6334,1
9092,1
9775,1
721,0
2842,0
97,1
9017,0
4956,0
2778,0
2779,1
1409,0
2098,0
8294,0
8949,1
4410,0
5974,1
6044,1
6102,1
9056,0
6887,0
1646,0
8716,1
3950,1
5043,1
5128,1
6907,0
9009,0
6586,1
8624,0
4333,0
3049,0
2340,1
8113,0
7074,1
9518,1
9612,0
9717,0
1066,1
2753,0
5201,1
3156,0
2181,1
1198,0
3730,1
1609,1
4480,1
3915,0
6394,1
7580,0
9693,0
5672,1
9873,1
4125,1
6630,1
192,1
3845,1
5270,0
8801,1
7454,0
8920,1
8635,1
3157,0
8104,0
8733,1
3368,0
8602,1
8209,0
6691,1
8607,1
3216,1
1315,1
2552,1
4975,0
2607,0
6622,1
3514,0
5867,1
4606,1
7987,1
9036,1
5248,1
6211,0
7690,0
4990,0
104,0
6359,1
7439,1
9634,1
8691,0
8815,1
1885,1
10,0
64,0
2130,0
2422,0
9406,1
3979,0
6084,1
2139,0
845,0
3221,0
3862,1
6797,1
1428,0
7083,1
8595,0
9645,1
7543,1
3323,0
5467,1
7217,0
4843,1
1096,0
5482,0
4017,1
8297,1
9265,1
3635,0
1533,0
3568,1
7255,1
9160,0
8290,1
6467,1
4114,1
8753,0
7467,1
9610,1
5260,0
4875,1
6811,0
8139,1
9255,1
9030,1
6531,1
9024,0
3911,1
470,0
1007,0
6015,1
1220,1
955,0
5586,1
9228,0
618,1
8851,1
948,1
9758,0
3874,0
1468,0
6138,1
3940,1
951,0
6580,1
3590,1
9560,0
5194,0
8434,1
141,0
5211,0
876,0
4731,1
5849,0
2962,1
2797,0
7619,1
4375,0
263,0
109,1
6482,0
1142,0
2135,0
1989,0
6420,1
6964,1
3644,0
8587,0
3300,1
8468,1
4169,1
5541,0
4281,0
862,0
3190,0
3905,1
4288,0
2899,0
6881,1
796,1
9286,0
9109,0
1781,1
3345,1
901,0
3553,0
9294,1
584,0
4464,0
103,0
8435,0
1245,1
5540,0
6547,1
1811,1
5959,1
7390,0
8976,0
437,1
2507,1
8969,1
7292,0
2433,0
2838,0
6738,1
2774,0
782,1
5422,0
8687,0
3926,0
3936,1
4273,0
513,1
4942,0
3615,0
2172,0
6458,1
8449,1
8565,1
1194,0
2121,0
5227,1
7064,1
1935,1
1063,0
5153,0
9744,1
6112,1
2036,1
7355,1
8141,0
3075,1
8014,0
2907,1
8939,1
1482,1
1316,0
5229,0
5383,0
4716,1
6946,0
2804,0
5315,0
7563,1
149,0
3906,1
6780,0
7902,1
3359,0
3617,0
5115,1
9107,0
2396,1
8649,1
9181,0
4326,1
1835,1
7756,1
8639,0
8152,0
4580,0
7006,1
1089,0
2339,1
9392,1
105,0
7017,1
9136,0
9120,0
7287,1
2298,1
8176,1
1955,0
4495,1
4471,1
8457,1
1331,0
5332,1
2482,1
6990,1
9505,1
8647,1
6022,1
2391,1
433,0
9588,1
4552,0
9521,0
1632,0
5250,0
3379,0
9580,1
644,0
4614,0
3421,1
1337,1
4191,0
6700,0
2132,1
6877,0
3068,1
3802,1
1783,1
8170,1
7704,1
3465,0
3122,0
2582,0
4497,1
4452,0
6715,1
713,0
9111,0
7565,1
8514,1
7870,0
6852,1
1894,0
2919,1
1219,0
3334,1
3435,1
9468,0
2964,1
5303,1
402,1
4224,0
640,1
2626,0
9667,0
5121,1
5614,1
8809,1
4142,1
7504,1
5638,0
1944,1
5056,1
5283,0
9155,1
7719,1
1444,1
2895,1
4076,1
5767,0
4253,1
7772,0
6704,1
8090,0
5088,1
8068,1
4699,1
6253,1
4398,0
3195,1
7872,1
6755,0
6200,0
1025,1
4513,1
878,1
5341,0
3567,0
7129,1
6533,0
7228,0
3232,1
685,0
6904,0
2971,0
4424,0
27,0
2471,0
5514,0
5625,0
6140,1
1237,1
4045,1
4832,0
6869,1
8609,0
6249,1
241,1
9847,0
869,1
4066,1
7508,1
5033,0
445,0
9627,1
8578,1
9651,1
2297,1
5291,1
1276,1
8714,1
316,1
9305,0
7673,0
9299,1
9163,1
6056,1
6236,0
7094,1
6146,1
4079,0
4145,0
3552,1
2180,0
5319,0
4572,0
4947,1
5262,0
4525,0
7985,0
7544,0
5687,1
9747,0
2880,1
425,0
4463,1
8697,1
8942,1
645,0
1794,0
1792,0
4357,0
2663,0
2073,0
8049,0
9374,0
382,0
9285,1
5574,0
715,0
5510,1
2417,1
4153,1
409,1
6639,0
8937,0
4318,0
4007,1
8923,0
2403,0
9598,0
3828,1
7848,1
1569,0
999,0
6260,1
6215,0
2523,0
8122,1
7099,1
522,0
2392,1
4470,0
3715,1
4362,0
6075,1
1013,1
6292,1
5185,0
6845,1
6662,1
237,1
2268,1
2721,0
7547,1
5595,0
1375,0
3636,1
1606,1
5642,1
6162,0
9658,0
3807,0
5627,0
7856,1
9552,0
5997,1
6918,0
6868,0
6448,0
6767,1
2645,1
9813,1
2311,1
6948,1
5293,1
8109,1
7510,1
4620,1
6255,1
5862,1
29,0
4726,1
6375,0
4589,1
5572,0
7645,1
8943,1
6301,0
9766,1
1106,0
6981,0
3046,0
6396,0
6643,1
7091,1
9670,1
9414,1
8164,1
4073,1
583,0
6748,0
2598,0
1113,1
426,1
126,1
4297,1
8858,1
2213,0
266,0
628,1
2808,0
9666,0
5946,1
2182,0
4461,0
2276,1
11,0
3319,0
5588,1
1436,0
6111,0
5963,1
3020,0
623,0
1119,0
3576,1
2596,1
2436,0
1903,0
6581,1
1314,1
9686,0
7010,0
6629,1
1524,0
3656,0
9394,0
4871,0
9401,0
7164,0
7139,1
3984,0
603,1
1258,1
294,0
7861,0
3540,1
6067,1
2707,0
8060,1
8837,0
8795,1
2736,0
6844,1
6096,0
3736,1
1449,0
7672,0
1947,1
1475,0
1558,1
9850,1
8590,1
5848,1
3550,0
2491,1
6190,1
3212,1
2252,1
6444,1
2900,1
6940,1
4545,0
7385,0
9185,1
6139,1
6932,1
7633,1
2955,0
7159,0
6261,1
8430,1
6812,1
4094,0
8775,1
6017,0
647,0
5051,1
5719,0
6501,0
2151,1
393,1
1480,0
6242,1
6078,1
5880,1
7739,0
7776,0
7145,0
582,1
811,0
6986,1
1625,1
3303,1
8235,1
4596,1
7588,0
5558,0
6663,0
2337,0
7080,1
1790,0
6466,1
9085,1
4754,0
1386,0
3694,0
4865,1
720,1
7992,0
7880,1
4127,0
2698,0
797,0
6698,1
8011,1
2045,0
2376,0
4150,1
6570,1
3843,1
7706,1
2696,0
5055,1
9214,0
1246,0
5730,0
8232,0
4131,0
9795,0
4162,0
2818,1
6125,1
2655,0
1278,1
8981,1
7359,1
1789,1
5117,1
8898,1
3455,1
8840,1
6526,0
8402,1
8613,1
8912,0
3809,0
335,0
5144,0
4631,1
5030,1
4340,1
6899,0
4135,1
684,0
8669,0
1264,1
7221,0
9442,1
5196,1
4874,1
5970,1
5701,0
4322,1
4656,0
1027,1
2203,0
4532,0
2972,0
7833,1
9674,0
8363,1
4011,1
6816,0
5130,0
5258,0
2326,0
4210,0
4098,0
9845,0
2691,1
2495,0
5003,1
4343,1
9119,0
7401,0
6919,0
3714,0
8207,0
7204,1
418,1
4681,0
9244,0
5045,1
9366,0
3001,0
9597,1
5491,1
3170,0
9402,1
5012,1
3253,1
9239,0
3702,0
9629,1
8793,0
9021,0
2763,0
669,0
7810,0
9262,0
7316,1
6158,0
6281,1
1236,0
2177,1
1257,1
1648,0
5355,1
5635,1
7620,0
171,1
1144,0
2680,1
1250,1
8203,1
7480,1
1936,0
3733,0
3827,1
7079,1
9743,1
8887,0
6701,1
5465,0
977,1
6527,1
7259,1
772,0
6310,1
3082,1
2522,0
1966,1
4039,0
8730,0
1673,1
3336,0
4403,0
2096,1
8285,0
7308,0
1120,1
2718,1
6148,1
4723,1
2469,0
6337,1
6477,0
1719,0
5492,0
1434,0
2428,0
2424,1
3245,0
9348,0
5890,0
4664,1
4137,0
351,0
8953,0
5124,1
8357,1
123,1
4411,1
481,1
1661,1
735,1
2890,0
1183,1
4310,0
8182,1
2665,1
4828,1
4696,0
158,0
8499,1
9769,1
2553,1
5646,0
6451,1
7703,0
1643,0
3741,1
9816,0
768,1
9387,1
2977,0
143,0
4574,1
1157,1
8017,0
4053,1
1919,0
2067,0
5702,0
2236,0
7989,1
8476,1
7153,1
7110,1
5626,1
1384,1
950,1
9440,1
3618,1
3230,0
3295,0
5067,0
8187,0
6896,0
2878,0
995,0
5349,1
7298,0
2549,1
7934,0
4729,1
9413,0
5622,0
107,0
847,1
4276,0
101,0
1842,0
7695,1
4176,1
6620,1
6216,0
3728,1
1573,0
5671,0
9856,1
223,0
9008,0
8129,1
1924,0
3472,1
3307,1
2419,1
3963,1
4008,0
3955,0
6744,1
7247,1
5278,0
4366,1
3125,0
3293,1
1464,1
4541,1
1356,0
6057,1
2477,0
1639,1
6954,0
8911,0
4465,1
251,0
292,0
8240,1
8540,1
3456,1
4565,1
7,0
2605,1
8549,1
953,0
9259,1
331,0
3649,0
5593,0
5401,0
5032,0
5631,1
1282,0
1871,1
4903,1
299,0
6189,0
6183,0
9273,0
4862,0
5265,0
5135,0
4770,1
4971,1
8369,1
1488,0
3290,0
6503,1
3382,0
5979,1
3152,0
6460,0
5096,1
5495,0
6293,1
7084,1
7100,1
354,0
3329,1
1545,0
767,1
5091,1
8878,0
4038,1
6266,0
1704,0
2609,0
7818,1
7253,0
7500,0
256,1
5681,0
3177,0
1954,0
8971,1
4672,1
429,1
6080,1
1581,1
6404,0
4041,1
8389,1
2498,1
317,0
788,0
7561,0
1193,1
4901,0
6646,1
1357,0
6942,0
7823,1
8408,1
4546,0
1141,1
5518,0
17,0
3172,0
6288,1
9542,0
8525,0
3734,1
9784,1
2111,1
1251,1
1696,0
2468,0
2565,0
4404,1
7238,1
7332,0
8914,0
9322,0
5629,0
6909,1
9416,1
9864,1
6296,1
7046,0
1829,0
1917,0
2148,0
8377,0
7279,0
5166,0
739,0
7321,1
3542,0
3298,0
7198,0
6179,1
5368,1
183,1
4496,1
5639,0
3272,1
5850,1
9169,1
8709,1
1502,1
6053,0
5706,0
7172,1
1857,1
8535,1
5569,0
1349,1
5911,1
4036,0
8835,1
4482,0
6332,0
3402,0
7597,0
7609,0
2911,0
9173,0
8266,0
5418,0
7324,0
4323,0
5479,0
1599,1
8358,1
9377,1
8130,1
5316,1
8416,1
47,1
3583,0
5053,0
8067,1
6452,0
9187,0
8333,0
3742,0
2354,1
7614,0
58,1
6614,0
4099,0
4925,0
4060,0
1678,0
1918,0
7598,1
8448,1
2782,0
7617,0
2076,0
5254,0
8242,0
25,0
164,0
397,1
3452,1
4851,0
443,1
5158,0
3014,0
5952,1
9108,1
6233,0
4075,0
4701,0
4405,0
6551,1
4126,1
781,1
4107,0
6267,1
4,0
8309,0
2675,0
5887,0
8153,1
5330,0
3909,0
9853,0
9774,0
6490,1
9371,0
9817,1
515,0
7345,0
7686,1
1566,1
9788,1
3619,0
8352,1
9018,1
5499,1
8511,1
6030,0
2031,1
8398,1
4493,0
7763,1
7329,1
9158,1
181,0
9473,0
984,1
1968,0
3982,0
3092,1
8071,1
4953,0
330,1
8040,1
7939,1
5078,1
9426,0
2577,0
2238,1
4697,0
7415,0
3006,0
4850,0
9606,1
1630,0
7875,0
882,1
3448,1
7601,1
2110,0
5916,0
7825,0
9260,1
8738,0
4280,1
1189,1
4739,1
5901,1
9773,0
4714,0
3149,1
6251,0
271,0
2802,0
5978,0
8281,0
9536,1
6414,1
8789,0
6677,0
6263,0
2137,0
139,0
8151,1
4666,1
766,0
1474,0
2369,0
8568,0
7574,0
859,1
6476,0
395,1
958,1
9039,0
9537,0
9799,1
7770,0
4705,0
5886,0
1393,0
7004,0
774,0
3952,1
1934,1
487,1
4917,0
9780,0
6495,0
5931,0
6262,0
3315,0
6795,1
9671,1
5441,0
3260,1
1846,0
67,0
2454,0
5988,0
8781,0
9250,0
6479,1
3113,0
3275,0
8029,1
595,0
5740,1
6991,0
5652,1
5344,0
4660,0
2586,1
8903,0
7937,1
5898,1
5232,0
3674,0
4882,0
5129,1
5776,0
1628,1
981,0
70,0
2451,1
2117,0
2535,0
1977,0
826,0
6131,1
525,1
5666,0
3634,1
5462,1
5076,0
2889,0
8376,0
4578,0
9313,0
8422,0
185,0
5762,0
8977,1
2508,0
8264,0
6781,1
3646,0
7623,1
2926,0
4158,0
1926,1
8725,0
7600,1
6092,0
4359,0
4912,0
2732,0
8073,0
180,0
6145,0
9174,0
7517,0
3475,0
4913,0
8157,0
5822,1
2001,0
8327,0
108,1
8916,0
4820,0
4934,1
1505,1
5930,1
2836,0
4551,0
7611,0
4622,1
5777,0
5738,0
3071,1
6447,0
5207,0
3975,0
9117,0
6822,0
9295,0
4603,0
6328,0
1657,1
5362,1
2745,1
4584,1
5837,0
6463,0
2245,1
7229,0
3211,0
5208,0
9139,1
3201,1
371,0
9324,1
9208,0
7542,0
2109,0
2572,1
4643,1
7846,1
3222,1
7335,0
840,0
7476,0
2069,0
1973,1
7628,0
6406,1
3259,1
3520,1
1360,1
8161,0
4927,0
1239,0
2026,1
9527,1
2882,0
6171,1
521,1
404,1
8410,1
6597,0
6860,0
2630,0
3281,1
3886,1
8564,0
5761,1
5138,1
4425,0
2546,0
2624,1
580,0
6471,0
7020,1
56,0
624,0
2807,0
5728,1
8606,0
3824,1
1535,1
8682,1
6516,1
7953,1
9874,1
9177,0
2915,0
7731,1
9007,1
8231,1
8355,0
6530,1
905,0
5463,1
5010,0
8311,0
7030,0
2152,1
8103,0
9049,0
174,0
8237,1
1607,0
798,1
8848,0
9779,0
6729,0
3798,0
1186,0
6642,1
9078,0
1775,1
524,1
6168,1
8195,0
1151,0
5036,0
6472,1
4488,1
504,0
921,0
3099,0
2671,0
4316,0
2544,1
7766,1
8712,1
9335,1
8480,0
7184,0
6088,1
4453,0
5649,1
9057,0
9363,0
4387,0
7406,0
5099,0
5809,0
1780,1
8951,1
3595,0
4269,0
541,1
5301,1
2083,0
5697,1
9672,1
4821,0
7230,0
2499,0
3189,0
8975,0
1046,0
281,0
4591,0
5464,1
6436,1
961,1
6227,1
1707,1
8646,0
8439,1
898,0
197,1
6894,1
3265,1
9498,1
7787,0
9764,1
4247,0
5364,1
7344,1
3,0
2479,1
5739,1
2227,0
1099,1
3751,0
7751,0
8458,0
8001,0
7826,0
1152,1
3585,1
4220,1
5296,0
7520,0
8159,0
4700,1
1997,0
9492,0
9427,0
2533,1
7676,1
2323,0
5965,1
7379,0
7555,1
619,0
6347,1
7532,0
1692,1
1373,0
7828,0
3268,1
9623,1
7319,0
8504,0
8628,1
4880,1
8664,1
9607,1
3058,1
212,1
96,1
6208,1
1222,1
6846,1
5397,0
4443,1
6235,1
3780,0
8076,0
3484,1
7947,0
5530,0
8860,0
4763,0
8395,1
6389,1
5452,0
7740,1
8582,0
916,0
3806,1
3808,0
3852,1
2129,0
5257,0
4116,0
594,1
4394,0
9230,1
7590,1
7606,0
899,0
2717,1
8933,1
4856,1
7994,1
8512,1
7029,1
889,1
7509,1
8750,0
3701,1
7191,0
254,1
3735,1
9367,0
2205,0
2954,0
3951,0
6993,0
2232,1
21,0
6798,1
6218,0
3498,0
1280,0
6399,0
326,1
496,1
6678,0
9002,1
9194,0
9293,1
535,0
6649,0
6901,0
6367,0
6681,0
1411,0
4542,1
3424,1
8896,0
5299,0
1042,0
6013,1
5143,1
9472,1
2756,0
1345,1
6722,1
8158,1
8271,1
2712,0
394,0
6737,0
5645,0
5971,1
8446,0
7636,0
2260,0
7211,0
4466,0
6732,0
6461,1
1963,0
6319,1
9702,0
4337,1
5222,1
2336,1
1242,1
7267,0
1636,1
7103,1
9277,0
8354,0
9575,1
5560,1
4365,1
3731,1
4296,1
7327,0
6962,0
4042,1
3317,1
9725,0
4929,1
4282,1
2285,0
894,1
4834,0
8288,0
6915,0
7624,0
4228,0
8689,0
7048,1
3327,1
1202,1
7874,1
1213,1
4963,1
5363,1
7866,0
4540,0
8308,1
5484,0
8185,1
2966,0
5323,0
5488,1
1534,1
6895,1
7075,1
9384,0
8303,1
9499,0
7387,0
1651,1
8220,1
1111,0
7960,0
3427,0
5743,0
2519,0
1203,1
4141,1
6884,0
350,0
1299,0
9029,0
7642,0
9640,0
8561,0
8630,0
4583,1
173,1
2199,1
6335,0
9081,0
4945,0
7699,0
6220,0
9553,1
8252,0
5816,0
5223,0
2429,1
6042,0
4035,1
459,1
2636,0
4117,1
4694,0
168,0
5860,1
479,0
1380,1
1555,1
466,1
2738,0
4563,0
5214,1
2726,1
1718,0
909,0
1567,1
2517,0
12,1
5439,1
8882,0
1731,1
7915,0
5656,0
3690,1
9474,0
285,1
5008,0
6735,0
1496,1
3446,1
5338,0
597,1
9830,0
5830,0
8396,0
420,1
7805,0
1860,0
6130,1
6609,1
6943,1
9538,0
4910,0
8278,0
1853,1
8600,0
8820,1
4029,0
8874,1
2924,0
8032,1
3112,1
2027,1
7272,0
868,1
7277,1
3579,0
32,0
3192,0
743,0
6304,0
5653,1
3349,0
7955,0
9410,1
2567,1
1153,0
5632,0
639,1
7143,1
1092,1
1904,0
2084,0
2032,0
9037,0
6724,1
7059,1
5940,1
6511,1
9066,1
6650,1
2051,0
8533,1
3279,1
9280,1
8331,1
7365,0
7356,0
2934,1
4960,0
7919,1
8746,1
1668,0
2592,1
4816,0
1467,1
9445,1
6282,1
5517,1
3770,1
2158,1
5276,0
2425,1
5895,0
2750,0
854,1
238,0
1537,0
0,0
2230,1
4204,1
6239,1
2591,1
5779,0
6921,1
7527,0
5524,0
9020,0
6371,1
6153,0
6358,1
3754,0
7980,1
7358,0
1430,1
5903,1
3713,1
9841,1
4544,0
2956,1
5874,0
3386,0
1489,0
1491,1
5799,1
7663,1
3502,0
7464,0
6339,1
2579,1
6565,0
3647,1
7922,0
5546,0
291,0
6306,0
1723,0
9643,1
4234,0
604,1
4213,1
5274,0
6532,1
69,0
2978,0
5947,0
1878,0
2970,1
4000,0
7307,0
7592,0
3055,1
6963,1
8125,1
7936,0
4261,1
1214,1
1721,1
1038,0
7438,0
8785,0
4530,0
6180,1
7650,1
3009,0
9689,1
9404,0
4517,1
2292,0
5542,1
6635,1
1004,0
8559,1
4121,0
748,0
2976,1
5841,1
3151,0
1737,1
8618,0
1911,1
5404,0
5336,0
2856,1
7877,0
7801,0
5449,0
5927,1
6356,1
4570,0
7647,0
2961,1
2192,0
5523,1
9336,1
2233,0
1652,0
320,1
3289,0
3631,1
6338,1
2349,1
7638,0
1477,1
9114,1
3330,0
4324,0
6973,0
4474,0
2072,1
848,0
3312,1
7798,0
9662,1
4070,0
5547,0
4200,1
2118,0
8493,1
4068,0
2531,0
1916,0
90,0
9678,0
2071,1
3966,0
4562,0
38,0
3023,1
2821,0
2241,1
971,1
5607,0
7315,0
531,0
3366,1
8382,0
6766,1
6455,1
74,1
1992,0
9126,0
8317,0
5379,0
7397,0
6195,0
6450,1
1615,0
1597,0
4327,1
1486,1
7133,1
6517,0
8919,1
4878,1
8053,0
8693,0
6883,0
2883,1
289,0
5234,1
551,0
5744,0
1134,1
3078,0
2704,0
3528,1
3757,1
4829,1
3812,0
1010,1
1416,0
627,1
309,0
7398,1
3444,1
8012,1
910,1
4556,1
9857,0
6686,0
6809,1
63,1
4402,0
5774,1
9310,0
8348,1
7831,1
6256,0
3848,1
8381,0
9646,0
6134,0
8081,0
7111,0
4757,1
3309,1
4554,1
9016,1
9573,1
9587,0
1255,0
4680,1
9796,0
586,1
4830,1
2197,1
3962,1
6432,1
4435,1
9691,0
992,1
1229,1
6930,0
7632,1
7251,1
7333,1
8131,0
787,1
1465,1
8445,0
